,userid,movieid,rating
0,A3R5OBKS7OM2IR,1,5.0
1,A3R5OBKS7OM2IR,2,5.0
2,AH3QC2PC1VTGP,3,2.0
3,A3LKP6WPMP9UKX,4,5.0
4,AVIY68KEPQ5ZD,4,5.0
5,A1CV1WROP5KTTW,5,5.0
6,AP57WZ2X4G0AA,5,2.0
7,A3NMBJ2LCRCATT,5,5.0
8,A5Y15SAOMX6XA,5,2.0
9,A3P671HJ32TCSF,5,5.0
10,A3VCKTRD24BG7K,5,5.0
11,ANF0AGIV0JCH2,5,5.0
12,A3LDEBLV6MVUBE,5,5.0
13,A1R2XZWQ6NM5M1,5,5.0
14,A36L1XGA5AQIJY,5,1.0
15,A2HWI21H23GDS4,5,4.0
16,A1DNYFL3RSXRMO,5,5.0
17,A39VF226GBM1JH,5,1.0
18,ASB0E2O2FLNA7,5,5.0
19,A19E15Y9V09CVJ,5,5.0
20,A3K979KQ7K0S5K,5,5.0
21,A39ZX6X5H2N4TS,5,5.0
22,A2Z3ZHQI6YXKHH,5,5.0
23,A2RNKU9KJHQ2BV,5,5.0
24,A30WLYNJA3B17H,5,5.0
25,A3LI15T4YR5WD6,5,5.0
26,AV3UWBH6K0ETD,5,2.0
27,A312A70K5UUL1N,5,1.0
28,A23PSBNOBPLCOM,5,5.0
29,ATEOWCA0EHRQR,5,5.0
30,A2T8A34ZSAXGHA,5,2.0
31,A3G3WG4UMDSF8M,5,5.0
32,A3LHVMF6OJXJNM,5,4.0
33,A35ZSFP89PWC5B,5,5.0
34,ALQGU53I8TCU6,6,4.0
35,A1XU4NX76WRGZM,7,5.0
36,A1Z6CDRFVIHES5,8,5.0
37,AR6RBE9S8XZ8C,9,5.0
38,A2X0GJ1KR9B8U0,10,5.0
39,A1Z1NDXGCNMEST,11,5.0
40,A2GWNIH0RTOM67,11,5.0
41,A2DZ09ET7S7ISG,12,5.0
42,A1PRCGRSAJMIFW,12,5.0
43,A1TN0V94A3ECSH,12,5.0
44,A1TN0V94A3ECSH,39,5.0
45,A3W3EB24TA5BSI,12,5.0
46,A2647CKYEBQE7N,12,5.0
47,A3478QRKQDOPQ2,13,5.0
48,A3KROYMQ61M7A,14,4.0
49,A3KROYMQ61M7A,127,4.0
50,A1FDW1SPYKB354,15,5.0
51,A1FDW1SPYKB354,103,5.0
52,A8DEM9HR8QORQ,16,5.0
53,ADZPIG9QOCDG5,16,4.0
54,A35947ZP82G7JH,16,3.0
55,A3UORV8A9D5L2E,16,3.0
56,A32MMXBE8TZEHO,16,5.0
57,A2S8D0QSJZ07DJ,16,5.0
58,A12PD8MX7BQW45,16,5.0
59,A1RZSB9J891SCK,16,5.0
60,A1VKW06X1O2X7V,16,5.0
61,A3M1I3T6RCU13B,16,5.0
62,A9ET89HFL6H5V,16,5.0
63,A655QKT9RZE22,16,4.0
64,A204IS3LM0G5WR,16,5.0
65,A2EKHROPDGU1XE,16,5.0
66,A3R27T4HADWFFJ,16,4.0
67,A2L0G56BNOTX6S,16,5.0
68,A5NYUBEKXFLX5,16,5.0
69,A2WT7U5CFGZZZ4,16,5.0
70,APC04EXUKDQJ6,16,3.0
71,A2DJ8B8GE4V2VD,16,5.0
72,AWF2S3UNW9UA0,16,5.0
73,A3OOCXQFN0GPH1,16,5.0
74,A3O4UUT83DG3OU,16,5.0
75,A3TK5Q142X5Q8A,16,5.0
76,A384DLXD0474VH,16,5.0
77,A18OILI6QL3F6D,16,5.0
78,A3EWY61AK57EIW,16,4.0
79,A33EWPXESP9GQH,16,5.0
80,AG8D804FUG5Y4,16,3.0
81,A1GHUN5HXMHZ89,16,5.0
82,A1GHUN5HXMHZ89,103,5.0
83,A1SA1Z504112YI,16,5.0
84,AQD623IKMVSGL,16,1.0
85,AV1K4IVQVAZFK,16,4.0
86,A3KBZ7NI16537Y,16,5.0
87,A3VT62AP8KEK3V,16,4.0
88,A137B3F44TDVIX,16,5.0
89,AAM67Y93KTIOL,16,5.0
90,A37UOTDP2USAK8,16,4.0
91,A8RICSNM5RJLW,16,5.0
92,A1GQF4JDJXBRLH,16,5.0
93,A13KAQO9F5X0FN,16,4.0
94,A3ECX7DUREGJ7G,16,4.0
95,A3UEOL981G9TXY,16,5.0
96,AZBWH4HLG3JWV,16,5.0
97,A2219H7HY0F9V8,16,5.0
98,A1A9WDWEVC5AC0,16,5.0
99,A19THR3ZXSIK49,16,4.0
100,A17DHMBDJMYVU1,16,4.0
101,A2Q8O413HJZ55E,16,2.0
102,A2ZCGDI772NVQI,16,5.0
103,A1L45FLKBI9K0H,16,4.0
104,A26UI3EHSMSHG6,16,4.0
105,A23AE7RQKN9ZPQ,16,5.0
106,A3QNGMNQW59UT0,16,5.0
107,A1J6M0V9F51U9C,16,5.0
108,A13W8CA4PHWBDA,16,5.0
109,A3VM88280S09LH,16,5.0
110,A38IHZTC22PHEH,16,5.0
111,A1PXS5N63PS6WR,16,5.0
112,A27BF3YQB9N8AH,16,5.0
113,A3N2P6WJW54TH2,16,5.0
114,ASJN2D3N3VWFN,16,5.0
115,A1FIPOMYT9W4FS,16,5.0
116,A24SQMM6M0QBK2,16,5.0
117,A2KJ92GG58CZNR,16,5.0
118,A3JDW8YT5N55Y7,16,5.0
119,A37MUTK4S86BCF,16,3.0
120,A126Q2HVTCS9P2,16,5.0
121,A33GLEGEVV4QI0,16,5.0
122,A3B261Q5JFSK6Y,16,5.0
123,A2QXBBR326NW0X,16,4.0
124,A3PISDFRIWEJA9,16,4.0
125,A24XT4V09ZONSF,16,5.0
126,A2PNKBQJQT7RS8,16,5.0
127,A2LMVHZV1MITHO,16,3.0
128,AVWWFK3FZDEL2,16,5.0
129,A2E27PODYFZBGC,16,4.0
130,AKOE75QZDY7A4,16,5.0
131,A1BWR0XSODEIJL,16,3.0
132,A33KS5S68111VY,16,4.0
133,A34BWIRIDNHWLG,16,5.0
134,A10O6QLKFO3R6R,16,5.0
135,AR4O6ZVN45NJM,16,5.0
136,A2D4HRAA7E0FRQ,16,5.0
137,A26OBZKMR6VK45,16,4.0
138,A100Z2S0880G9A,16,5.0
139,AZB4CQ9JZSUQB,16,5.0
140,A1QP8CVESJ1FP7,16,5.0
141,A2JYJO88HFRU1I,16,4.0
142,A3KGAJ86I4T73J,16,5.0
143,A1FWW47TZ65PNY,16,5.0
144,A26IQ9W0XF9KIE,16,5.0
145,A2VSOXAOR2QBVG,16,4.0
146,A22GJ2SRENMZS0,16,4.0
147,ALVW4TQYL6729,16,3.0
148,A2I0X9N2RH7R7X,16,4.0
149,AQIYZW55ENZYU,16,5.0
150,A26NRTM9VWR94O,16,3.0
151,A1M4W5ZUKL7QT7,16,5.0
152,AEAJWQNTW235T,16,4.0
153,A258ONALWRQMV1,16,5.0
154,A258ONALWRQMV1,91,5.0
155,AQPESGTO73D0T,16,4.0
156,AJCZMHX3H9Q9V,16,5.0
157,A2FQODF76KU7VD,16,5.0
158,A18LQQ6KUK9IF6,16,3.0
159,A2QABS4AEMS2BN,16,5.0
160,A3MPY30523TAVT,16,5.0
161,A1U3G5C5JX3Y6B,16,5.0
162,ALLFFX35KDAQ4,16,5.0
163,AJLAJCO6GTFWN,16,5.0
164,A1ZAQHMCCT297C,16,5.0
165,A22G01AXB3H5TY,16,5.0
166,A1DUK6J2EOD0DP,16,5.0
167,AT82PUPRMA07B,16,5.0
168,AVECJZDR0LYZN,16,5.0
169,A1K34FVJ2AJI2W,16,5.0
170,A2POKTUSVTGWU0,16,4.0
171,A3L3ORBU5IXTMX,16,5.0
172,AG4FMYITPTATN,16,1.0
173,A3OBYFTSJ72YUY,16,4.0
174,A1L2YX5DOO1WXM,16,3.0
175,A17FS08RHAEU43,16,5.0
176,A12445WD4TJHUK,16,4.0
177,A18RU8H09GLAFD,16,5.0
178,A3B5N9IMLURIYA,16,4.0
179,A4CAZ91RSWUJT,16,3.0
180,A29NAVZMCE2TY4,16,1.0
181,A2BMBZ9H4XTKJB,16,5.0
182,A116NVCXW1F7N1,16,4.0
183,A1IMO6SR37U67K,16,5.0
184,A21EK0DB4PYUJE,16,5.0
185,ATXWVGLKWDPX4,16,5.0
186,A361AJADCBWTFE,16,5.0
187,A306NASGVUDFKF,16,5.0
188,A7Z79SQVWV2N0,16,5.0
189,A38G1NN5SD81GD,16,2.0
190,A24JX137XMBA7H,16,3.0
191,A197O2J5BA4AQ,16,5.0
192,A2OHY2ZPWUX1XR,16,5.0
193,A1FMDF1NOYM3M7,16,5.0
194,A2KA3OCRR283W5,16,5.0
195,A1OV1U09Q6KXQJ,16,5.0
196,A2YRWE73IZYN0P,16,4.0
197,A2C6T0EGXU0UP0,16,4.0
198,A2P64DWIPY4O2,16,5.0
199,A26Q6QE0J3L0VX,16,5.0
200,A2KJO4L7YN3UZW,16,3.0
201,A214JCZTENHWX5,16,5.0
202,A1GV5U0I80BRCA,16,4.0
203,A28L7RYP6FYGN9,16,5.0
204,A1T1XX0ZXMKI08,16,5.0
205,A1I0N5I3B6HX0C,16,5.0
206,A78D02YDLHDJ9,16,4.0
207,AEJHL4TIP7GQ7,16,3.0
208,A3TOZUVS3TM75X,16,3.0
209,A2J7IA24KAAJ03,16,4.0
210,A1HJ3DYNXAD7WR,16,5.0
211,A2EBCDL7P2PA3N,16,4.0
212,A2S689D469XHA1,16,5.0
213,A3EQZ5JA8C5K5E,16,5.0
214,AAQRCX68WH7YK,16,3.0
215,A8VV10NKQ11QO,16,4.0
216,AFWFSEHPJABT9,16,5.0
217,A1FGBY4G9TEOJZ,16,5.0
218,AR5EWP9FE8SG5,16,4.0
219,A311FRUP9Z7ABH,16,5.0
220,A1CJHBRQIG5MS5,16,5.0
221,A38I4SUI5XZVUT,16,5.0
222,A3P98J5DZ00A75,16,4.0
223,AYE6KHD4A9CJN,16,4.0
224,AKYF4DAGHMC7N,16,4.0
225,A2602YF29FSZNR,16,5.0
226,A17KSWS3YKNK4F,16,5.0
227,A3ITQD4VL6DSBN,16,3.0
228,ATAGA4N9SMWWQ,16,5.0
229,ABPMYPTXNN034,16,5.0
230,A1MUTGFKWD74U4,16,5.0
231,A1PF789NYOCR67,16,5.0
232,A13MTBI2DEEQ0K,16,5.0
233,A1BOKOBCBRVSKD,16,5.0
234,A38JFF6SGZEO37,16,5.0
235,A3OH2Q2UID4FYX,16,5.0
236,A125TLIUTYSWTB,16,5.0
237,A36ZT22MM9JWTK,16,5.0
238,A2GLXOJMEEBP1K,16,5.0
